Tract Code,State,County,Latitude,Longitude,Total Cash Rent,Total Cash Rent MG,Less than $100,Less than $100 MG,$100 to $149,$100 to $149 MG,$150 to $199,$150 to $199 MG,$200 to $249,$200 to $249 MG,$250 to $299,$250 to $299 MG,$300 to $349,$300 to $349 MG,$350 to $399,$350 to $399 MG,$400 to $449,$400 to $449 MG,$450 to $499,$450 to $499 MG,$500 to $549,$500 to $549 MG,$550 to $599,$550 to $599 MG,$600 to $649,$600 to $649 MG,$650 to $699,$650 to $699 MG,$700 to $749,$700 to $749 MG,$750 to $799,$750 to $799 MG,$800 to $899,$800 to $899 MG,$900 to $999,$900 to $999 MG,"$1,000 to $1,249","$1,000 to $1,249 MG","$1,250 to $1,499","$1,250 to $1,499 MG","$1,500 to $1,999","$1,500 to $1,999 MG","$2,000 to $2,499","$2,000 to $2,499 MG","$2,500 to $2,999","$2,500 to $2,999 MG","$3,000 to $3,499","$3,000 to $3,499 MG","$3,500 or more","$3,500 or more MG",No Cash Rent,No Cash Rent MG
2008,Florida,Leon County,30.444685,-84.325971,1664,383,0,15,0,15,0,15,0,15,0,15,0,15,0,15,54,93,58,66,25,31,16,24,75,70,132,101,366,316,133,101,154,97,50,58,120,84,58,74,241,120,86,62,96,106,0,15,0,15,70,114
2101,Florida,Leon County,29.538904,-82.276686,1261,457,0,15,0,15,0,15,0,15,0,15,17,28,0,15,0,15,0,15,0,15,0,15,0,15,0,15,387,399,57,85,83,61,94,84,197,130,207,173,199,130,0,15,0,15,20,28,0,15,0,15
2103,Florida,Leon County,30.455975,-84.317374,1731,330,0,15,0,15,0,15,0,15,0,15,0,15,0,15,34,58,148,105,25,31,92,87,16,25,45,46,48,40,81,58,167,95,191,119,328,230,362,183,110,82,74,74,10,16,0,15,0,15,12,16
2105,Florida,Leon County,30.460419,-84.332956,1546,324,0,15,0,15,0,15,9,14,0,15,0,15,0,15,0,15,9,15,0,15,226,144,61,60,0,15,300,200,29,32,422,250,160,103,119,77,102,81,94,101,15,24,0,15,0,15,0,15,0,15
2106,Florida,Leon County,30.451787,-84.329708,1123,280,0,15,0,15,43,46,0,15,0,15,188,222,0,15,8,13,31,52,0,15,14,23,61,91,0,15,101,91,24,39,145,113,96,108,89,63,109,112,54,60,99,116,61,100,0,15,0,15,0,15
2201,Florida,Leon County,29.680827,-82.545024,1911,323,0,21,0,21,0,21,0,21,0,21,20,38,18,33,0,21,0,21,55,69,116,145,123,107,59,78,46,64,96,89,127,143,88,87,573,220,342,195,136,137,47,75,65,102,0,21,0,21,0,21
2205,Florida,Leon County,30.485356,-84.34105,675,280,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,36,55,44,51,0,21,0,21,149,112,276,204,170,171,0,21,0,21,0,21,0,21,0,21,41,41
2206,Florida,Leon County,30.509851,-84.351878,409,125,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,23,36,0,15,0,15,0,15,0,15,0,15,0,15,49,78,31,49,80,47,116,73,110,92,0,15,0,15,0,15,0,15,0,15
2207,Florida,Leon County,29.643403,-82.430477,609,165,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,22,25,11,17,0,15,0,15,0,15,17,20,34,51,22,24,46,55,189,106,54,48,177,95,37,59,0,15,0,15,0,15,11,18
2208,Florida,Leon County,29.644522,-82.454261,607,143,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,6,11,0,15,71,80,30,28,100,62,93,76,154,82,137,82,16,20,0,15,0,15,0,15,0,15
2302,Florida,Leon County,30.574728,-84.319137,56,58,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,35,52,0,15,9,14,0,15,12,18,0,15,0,15,0,15,0,15,0,15,0,15,41,51
2303,Florida,Leon County,30.51947,-84.375847,107,68,0,15,0,15,0,15,0,15,0,15,0,15,0,15,15,24,0,15,0,15,0,15,0,15,0,15,0,15,5,9,59,55,0,15,13,21,15,25,0,15,0,15,0,15,0,15,0,15,32,26
2304,Florida,Leon County,30.45986,-84.37551,645,178,0,15,0,15,0,15,0,15,59,74,0,15,0,15,0,15,0,15,0,15,18,27,90,94,0,15,28,35,0,15,48,63,21,31,72,49,249,139,60,94,0,15,0,15,0,15,0,15,29,46
2403,Florida,Leon County,30.494439,-84.230149,422,195,0,15,0,15,0,15,0,15,0,15,5,9,0,15,20,22,0,15,30,47,0,15,0,15,0,15,30,34,0,15,105,91,119,146,74,63,22,25,17,22,0,15,0,15,0,15,0,15,0,15
2410,Florida,Leon County,30.506665,-84.223791,982,271,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,18,29,0,21,114,176,0,21,0,21,0,21,212,153,105,69,351,154,131,96,51,50,0,21,0,21,0,21,0,21,47,58
2411,Florida,Leon County,30.611846,-84.264005,51,56,0,15,0,15,11,9,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,40,55,0,15,0,15,0,15,0,15,15,19
2413,Florida,Leon County,30.587784,-84.202923,109,59,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,9,16,32,29,68,58,0,15,0,15,0,15,0,15,20,24
2414,Florida,Leon County,30.524706,-84.210226,626,193,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,270,171,25,23,184,116,85,53,23,22,30,41,0,15,0,15,9,13,13,19
